timestamp,concurrency
2019-01-08 18:01:00,661408
2019-01-08 18:02:00,659067
2019-01-08 18:03:00,647885
2019-01-08 18:04:00,644282
2019-01-08 18:05:00,632629
2019-01-08 18:06:00,698594
2019-01-08 18:07:00,697979
2019-01-08 18:08:00,702921
2019-01-08 18:09:00,701286
2019-01-08 18:10:00,740286
2019-01-08 18:11:00,708442
2019-01-08 18:12:00,692601
2019-01-08 18:13:00,714909
2019-01-08 18:14:00,690079
2019-01-08 18:15:00,665624
2019-01-08 18:16:00,663826
2019-01-08 18:17:00,648846
2019-01-08 18:18:00,650328
2019-01-08 18:19:00,645632
2019-01-08 18:20:00,668354
2019-01-08 18:21:00,651029
2019-01-08 18:22:00,625654
2019-01-08 18:23:00,639578
2019-01-08 18:24:00,642288
2019-01-08 18:25:00,619720
2019-01-08 18:26:00,620057
2019-01-08 18:27:00,627632
2019-01-08 18:28:00,615378
2019-01-08 18:29:00,617720
2019-01-08 18:30:00,698554
2019-01-08 18:31:00,654986
2019-01-08 18:32:00,651915
2019-01-08 18:33:00,663883
2019-01-08 18:34:00,653374
2019-01-08 18:35:00,659437
2019-01-08 18:36:00,608750
2019-01-08 18:37:00,642469
2019-01-08 18:38:00,626707
2019-01-08 18:39:00,631097
2019-01-08 18:40:00,669129
2019-01-08 18:41:00,629966
2019-01-08 18:42:00,643036
2019-01-08 18:43:00,653282
2019-01-08 18:44:00,645776
2019-01-08 18:45:00,653531
2019-01-08 18:46:00,647142
2019-01-08 18:47:00,655046
2019-01-08 18:48:00,635631
2019-01-08 18:49:00,624320
2019-01-08 18:50:00,657307
2019-01-08 18:51:00,646050
2019-01-08 18:52:00,639239
2019-01-08 18:53:00,623090
2019-01-08 18:54:00,617455
2019-01-08 18:55:00,626164
2019-01-08 18:56:00,639339
2019-01-08 18:57:00,627729
2019-01-08 18:58:00,614404
2019-01-08 18:59:00,623309
2019-01-08 19:00:00,744579
2019-01-08 19:01:00,660078
2019-01-08 19:02:00,622568
2019-01-08 19:03:00,630789
2019-01-08 19:04:00,645312
2019-01-08 19:05:00,627575
2019-01-08 19:06:00,626975
2019-01-08 19:07:00,628159
2019-01-08 19:08:00,643941
2019-01-08 19:09:00,646683
2019-01-08 19:10:00,666844
2019-01-08 19:11:00,684376
2019-01-08 19:12:00,695381
2019-01-08 19:13:00,695411
2019-01-08 19:14:00,697471
2019-01-08 19:15:00,663062
2019-01-08 19:16:00,682033
2019-01-08 19:17:00,648033
2019-01-08 19:18:00,664887
2019-01-08 19:19:00,640575
2019-01-08 19:20:00,669966
2019-01-08 19:21:00,622563
2019-01-08 19:22:00,611311
2019-01-08 19:23:00,594098
2019-01-08 19:24:00,601853
2019-01-08 19:25:00,594950
2019-01-08 19:26:00,593080
2019-01-08 19:27:00,596506
2019-01-08 19:28:00,615373
2019-01-08 19:29:00,594043
2019-01-08 19:30:00,689425
2019-01-08 19:31:00,651010
2019-01-08 19:32:00,633737
2019-01-08 19:33:00,620248
2019-01-08 19:34:00,617541
2019-01-08 19:35:00,624483
2019-01-08 19:36:00,608670
