timestamp,concurrency,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_1440
2025-01-02 02:23:00,41,47.0,52.0,52.0,39.0,43.0,26.0,43.0,49.0,26.0,49.0,58.0
2025-01-02 02:24:00,54,41.0,47.0,52.0,52.0,39.0,43.0,26.0,43.0,49.0,26.0,51.0
2025-01-02 02:25:00,54,54.0,41.0,47.0,52.0,52.0,39.0,43.0,26.0,43.0,49.0,42.0
2025-01-02 02:26:00,34,54.0,54.0,41.0,47.0,52.0,52.0,39.0,43.0,26.0,43.0,56.0
2025-01-02 02:27:00,45,34.0,54.0,54.0,41.0,47.0,52.0,52.0,39.0,43.0,26.0,56.0
2025-01-02 02:28:00,38,45.0,34.0,54.0,54.0,41.0,47.0,52.0,52.0,39.0,43.0,52.0
2025-01-02 02:29:00,27,38.0,45.0,34.0,54.0,54.0,41.0,47.0,52.0,52.0,39.0,34.0
2025-01-02 02:30:00,57,27.0,38.0,45.0,34.0,54.0,54.0,41.0,47.0,52.0,52.0,89.0
2025-01-02 02:31:00,42,57.0,27.0,38.0,45.0,34.0,54.0,54.0,41.0,47.0,52.0,77.0
2025-01-02 02:32:00,35,42.0,57.0,27.0,38.0,45.0,34.0,54.0,54.0,41.0,47.0,37.0
2025-01-02 02:33:00,71,35.0,42.0,57.0,27.0,38.0,45.0,34.0,54.0,54.0,41.0,55.0
2025-01-02 02:34:00,46,71.0,35.0,42.0,57.0,27.0,38.0,45.0,34.0,54.0,54.0,58.0
2025-01-02 02:35:00,43,46.0,71.0,35.0,42.0,57.0,27.0,38.0,45.0,34.0,54.0,53.0
2025-01-02 02:36:00,75,43.0,46.0,71.0,35.0,42.0,57.0,27.0,38.0,45.0,34.0,77.0
2025-01-02 02:37:00,42,75.0,43.0,46.0,71.0,35.0,42.0,57.0,27.0,38.0,45.0,42.0
2025-01-02 02:38:00,32,42.0,75.0,43.0,46.0,71.0,35.0,42.0,57.0,27.0,38.0,73.0
2025-01-02 02:39:00,55,32.0,42.0,75.0,43.0,46.0,71.0,35.0,42.0,57.0,27.0,51.0
2025-01-02 02:40:00,69,55.0,32.0,42.0,75.0,43.0,46.0,71.0,35.0,42.0,57.0,58.0
2025-01-02 02:41:00,29,69.0,55.0,32.0,42.0,75.0,43.0,46.0,71.0,35.0,42.0,31.0
2025-01-02 02:42:00,55,29.0,69.0,55.0,32.0,42.0,75.0,43.0,46.0,71.0,35.0,55.0
2025-01-02 02:43:00,62,55.0,29.0,69.0,55.0,32.0,42.0,75.0,43.0,46.0,71.0,57.0
2025-01-02 02:44:00,35,62.0,55.0,29.0,69.0,55.0,32.0,42.0,75.0,43.0,46.0,48.0
2025-01-02 02:45:00,46,35.0,62.0,55.0,29.0,69.0,55.0,32.0,42.0,75.0,43.0,45.0
